date,stock_name,stock_code
2020-12-22,리노스,039980
2020-12-23,텔레칩스,054450
2020-12-23,국제약품,002720
2020-12-24,모트렉스,118990
2020-12-24,한국내화,010040
2020-12-28,압타바이오,293780
2020-12-28,러셀,217500
2020-12-28,파라텍,033540
2020-12-29,삼성제약,001360
2020-12-29,대한항공우,003495
2020-12-29,SJM,123700
2020-12-30,한국큐빅,021650
2020-12-30,파라텍,033540
2020-12-30,압타머사이언스,291650
2021-10-29,아비코전자,036010
2021-10-29,TJ미디어,032540
2021-10-29,티플랙스,081150
2021-11-01,이녹스,088390
2021-11-01,엠게임,058630
2021-11-01,휴켐스,069260
2021-11-01,휴켐스,069260
2021-11-01,휴켐스,069260
2021-11-02,넷게임즈,225570
2021-11-02,디알젬,263690
2021-11-02,삼일제약,000520
2021-11-02,넷게임즈,225570
2021-11-02,넷게임즈,225570
2021-11-02,넷게임즈,225570
2021-11-03,원익큐브,014190
2021-11-03,휴켐스,069260
2021-11-03,휴켐스,069260
2021-11-03,휴켐스,069260
2021-11-03,범양건영,002410
2021-11-04,보라티알,250000
2021-11-04,초록뱀컴퍼니,052300
2021-11-04,우진,105840
2021-11-05,대양금속,009190
2021-11-05,성우테크론,045300
2021-11-05,GH신소재,130500
2021-11-05,제이씨현시스템,033320
2021-11-08,팜스토리,027710
2021-11-08,국전약품,307750
2021-11-08,티웨이홀딩스,004870
2021-11-09,두산밥캣,241560
2021-11-09,에스엠,041510
2021-11-09,퓨처켐,220100
2021-11-10,버킷스튜디오,066410
2021-11-10,한국맥널티,222980
2021-11-10,한신기계,011700
2021-11-11,신원종합개발,017000
2021-11-11,웰크론한텍,076080
2021-11-11,파라텍,033540
2021-11-12,비즈니스온,138580
2021-11-12,파라텍,033540
2021-11-12,큐브엔터,182360
2021-11-15,이노와이어리스,073490
2021-11-15,지에스이,053050
2021-11-16,에코캡,128540
2021-11-16,티에이치엔,019180
2021-11-16,위지윅스튜디오,299900
2021-11-17,넷게임즈,225570
2021-11-17,한신기계,011700
2021-11-17,이화전기,024810
2021-11-17,넷게임즈,225570
2021-11-17,넷게임즈,225570
2021-11-17,다날,064260
2021-11-17,넷게임즈,225570
2021-11-18,넷게임즈,225570
2021-11-18,넷게임즈,225570
2021-11-18,넷게임즈,225570
2021-11-18,넷게임즈,225570
2021-11-18,삼보산업,009620
2021-11-18,티사이언티픽,057680
2021-11-18,파버나인,177830
2021-11-19,애니플러스,310200
2021-11-19,이루온,065440
2021-11-19,신테카바이오,226330
2021-11-22,디지캡,197140
2021-11-22,위메이드맥스,101730
2021-11-22,코퍼스코리아,322780
2021-11-23,와이엠텍,273640
2021-11-23,아남전자,008700
2021-11-23,키네마스터,139670
2021-11-24,아이에이,038880
2021-11-24,진바이오텍,086060
2021-11-24,모트렉스,118990
2021-11-24,쏠리드,050890
2021-11-25,드림어스컴퍼니,060570
2021-11-25,KCTC,009070
2021-11-25,엠투엔,033310
2021-11-26,플레이그램,009810
2021-11-26,이연제약,102460
2021-11-26,키네마스터,139670
2021-11-29,두산중공업,034020
2021-11-29,키네마스터,139670
2021-11-29,시스웍,269620
2021-11-29,EDGC,245620
2021-11-30,청담러닝,096240
2021-11-30,플레이그램,009810
2021-11-30,미래나노텍,095500
2021-12-01,바이넥스,053030
2021-12-01,국동,005320
2021-12-01,케이씨피드,025880
2021-12-02,바이넥스,053030
2021-12-02,바이오스마트,038460
2021-12-03,파인테크닉스,106240
2021-12-03,드림어스컴퍼니,060570
2021-12-06,서연탑메탈,019770
2021-12-07,휴센텍,215090
2021-12-07,나무가,190510
2021-12-07,이랜텍,054210
2021-12-08,칩스앤미디어,094360
2021-12-08,트루윈,105550
2021-12-09,태경산업,015890
2021-12-09,트루윈,105550
2021-12-09,모비릭스,348030
2021-12-10,멕아이씨에스,058110
2021-12-10,알서포트,131370
2021-12-10,에디슨EV,136510
2021-12-13,삼일,032280
2021-12-13,이엠텍,091120
2021-12-13,이엠텍,091120
2021-12-13,로보티즈,108490
2021-12-13,로보티즈,108490
2021-12-13,삼일,032280
2021-12-14,셀루메드,049180
2021-12-14,셀루메드,049180
2021-12-14,국전약품,307750
2021-12-14,버킷스튜디오,066410
2021-12-14,버킷스튜디오,066410
2021-12-14,국전약품,307750
2021-12-15,제일약품,271980
2021-12-15,파라텍,033540
2021-12-15,SK증권,001510
2021-12-15,SK증권,001510
2021-12-15,한일화학,007770
2021-12-15,제일약품,271980
2021-12-15,한일화학,007770
2021-12-15,파라텍,033540
2021-12-16,삼성출판사,068290
2021-12-16,텔레칩스,054450
2021-12-16,하나마이크론,067310
2021-12-16,삼성출판사,068290
2021-12-16,하나마이크론,067310
2021-12-16,텔레칩스,054450
2021-12-17,엘아이에스,138690
2021-12-17,대창,012800
2021-12-17,엘아이에스,138690
2021-12-17,대창,012800
2021-12-20,재영솔루텍,049630
2021-12-20,씨티케이,260930
2021-12-20,씨티케이,260930
2021-12-20,재영솔루텍,049630
2021-12-21,NPC,004250
2021-12-21,NPC,004250
2021-12-21,영화테크,265560
2021-12-21,영화테크,265560
2021-12-22,제주반도체,080220
2021-12-22,티엘아이,062860
2021-12-22,제주반도체,080220
2021-12-22,티엘아이,062860
2021-12-23,덱스터,206560
2021-12-23,오션브릿지,241790
2021-12-23,덱스터,206560
2021-12-23,오션브릿지,241790
2021-12-24,카프로,006380
2021-12-24,타이거일렉,219130
2021-12-24,타이거일렉,219130
2021-12-24,카프로,006380
2021-12-27,KH바텍,060720
2021-12-27,서연탑메탈,019770
2021-12-27,서연탑메탈,019770
2021-12-27,KH바텍,060720
2021-12-28,앤씨앤,092600
2021-12-28,유니퀘스트,077500
2021-12-28,앤씨앤,092600
2021-12-28,어보브반도체,102120
2021-12-28,유니퀘스트,077500
2021-12-28,어보브반도체,102120
2021-12-29,플레이그램,009810
2021-12-29,파라텍,033540
2021-12-29,플레이그램,009810
2021-12-29,파라텍,033540
2021-12-30,해성티피씨,059270
2021-12-30,티비씨,033830
2021-12-30,티비씨,033830
2021-12-30,해성티피씨,059270
2021-12-30,엔비티,236810
2021-12-30,엔비티,236810
2022-01-03,SFA반도체,036540
2022-01-03,다믈멀티미디어,093640
2022-01-03,덴티움,145720
