date,stock_name,stock_code,end_date,br_pr_D1,tr_pr_D0,tr_hpr_D0,Volume_D10,Volume_D9,Volume_D8,Volume_D7,Volume_D6,Volume_D5,Volume_D4,Volume_D3,Volume_D2,Volume_D1,tr_vol_D0,lpr_D10,lpr_D9,lpr_D8,lpr_D7,lpr_D6,lpr_D5,lpr_D4,lpr_D3,lpr_D2,lpr_D1,gap_change,mean_vlome,today_vlome,vlome_change,slope,day_change,deter_change
2019-11-12,케이씨티,089150,20191112,2350,2515,2800,27194,151178,61598,98326,48575,40355,26299,46014,21141,556948,3905280,2190,2205,2255,2210,2220,2240,2250,2230,2255,2260,0.0702127659574467,52348.0,3905280,73.60227706884694,0.092947220924801,285,1
2019-11-13,제넨바이오,072520,20191113,1950,2100,2295,1587187,810801,956304,1255000,1436682,761319,845690,945265,464398,496272,6254052,1735,1820,1855,1875,1970,1980,1990,1925,1940,1915,0.0769230769230768,906494.1,6254052,5.899164594673038,0.0272269775044087,195,1
2019-11-13,콤텍시스템,031820,20191113,1355,1385,1750,1122294,872437,497120,511915,885745,514777,1596915,631758,754177,971315,85557514,1300,1300,1300,1310,1290,1300,1290,1330,1330,1335,0.0221402214022139,738888.8,85557514,114.7921381404076,0.1200768491834787,365,1
2019-11-13,우원개발,046940,20191113,6400,6590,8270,255701,103100,318241,5811276,10952409,4442889,552365,780157,1247603,1929704,9858753,3950,4070,4090,4270,5210,5310,5400,5540,5940,5850,0.0296875,2447201.1,9858753,3.028583102549275,0.0037123975757399,1680,1
2019-11-13,에스맥,097780,20191113,1015,1095,1180,462505,626620,379374,667819,4838265,7461323,17507120,3685274,2379540,19301407,37106691,798,793,795,798,813,865,895,951,950,950,0.0788177339901476,3800902.0,37106691,8.762601350942488,0.0404866518102833,85,1
2019-11-14,종근당바이오,063160,20191114,29850,31900,33000,50906,81699,145887,48551,46345,27971,22760,63806,24899,55148,402842,29500,30400,32100,31650,30850,30700,30700,29600,29400,29150,0.0686767169179229,54582.4,402842,6.380437650231577,-0.001449602983978,1100,1
2019-11-14,광림,014200,20191114,2395,2470,2575,89195,269204,109081,152669,205960,100572,188105,73124,186929,116271,465976,2320,2295,2300,2310,2310,2330,2315,2325,2300,2320,0.0313152400835072,137741.4,465976,2.3829770860467514,0.0804123711340335,105,1
2019-11-14,웰크론,065950,20191114,3785,3905,4145,2052259,2331924,686982,485004,647213,412853,233755,288918,201212,576018,6616759,3715,3780,3720,3760,3750,3725,3700,3645,3660,3665,0.0317040951122853,734426.5,6616759,8.009422998761618,-0.0514867841409683,240,1
2019-11-14,필룩스,033180,20191114,8410,8950,10850,64176728,18368452,82940959,62400351,39550507,24835468,24184006,14160124,11209202,21110908,69503604,5890,6820,7190,8950,8700,8910,8960,8500,8160,7970,0.0642092746730083,34183664.7,69503604,1.033240280407969,0.0017587369758192,1900,1
2019-11-14,필룩스,033180,20191114,8410,8950,10850,64176728,18368452,82940959,62400351,39550507,24835468,24184006,14160124,11209202,21110908,69503604,5890,6820,7190,8950,8700,8910,8960,8500,8160,7970,0.0642092746730083,34183664.7,69503604,1.033240280407969,0.0017587369758192,1900,1
2019-11-14,필룩스,033180,20191114,8410,8950,10850,64176728,18368452,82940959,62400351,39550507,24835468,24184006,14160124,11209202,21110908,69503604,5890,6820,7190,8950,8700,8910,8960,8500,8160,7970,0.0642092746730083,34183664.7,69503604,1.033240280407969,0.0017587369758192,1900,1
2019-11-14,필룩스,033180,20191114,8410,8950,10850,64176728,18368452,82940959,62400351,39550507,24835468,24184006,14160124,11209202,21110908,69503604,5890,6820,7190,8950,8700,8910,8960,8500,8160,7970,0.0642092746730083,34183664.7,69503604,1.033240280407969,0.0017587369758192,1900,1
2019-11-15,프럼파스트,035200,20191115,3155,3285,3700,21591,22671,51243,9663,51739,30753,54334,20133,11533,93566,3776890,2945,2945,2940,2940,2945,2980,3010,3000,3000,3020,0.0412044374009508,27736.0,3776890,135.17284395731178,0.083485045513654,415,1
