br_pr_D1,tr_pr_D0,tr_hpr_D0,Volume_D10,Volume_D9,Volume_D8,Volume_D7,Volume_D6,Volume_D5,Volume_D4,Volume_D3,Volume_D2,Volume_D1,tr_vol_D0,lpr_D10,lpr_D9,lpr_D8,lpr_D7,lpr_D6,lpr_D5,lpr_D4,lpr_D3,lpr_D2,lpr_D1
3155,3285,3700,21591,22671,51243,9663,51739,30753,54334,20133,11533,93566,3776890,2945,2945,2940,2940,2945,2980,3010,3000,3000,3020
5300,5440,6580,11790,5893,12481,9731,15036,8137,10888,9400,6723,17971,1954861,5120,5150,5230,5230,5210,5260,5270,5230,5250,5170
2075,2230,2425,663328,403797,357908,479435,225253,658677,366819,446949,1219474,703223,13607895,2040,2070,2060,2075,2070,2080,2070,2020,2060,2045
7420,7680,8900,765641,633696,443849,404448,526684,546081,329616,5790231,13416556,1907830,22804695,6900,6890,6860,6900,6900,6700,6660,6760,7730,7320
5520,5690,6250,38902,32278,39316,654304,1455215,6824041,2092906,3952128,2137582,1214051,2833432,3830,3800,3840,3865,4110,4870,5310,5550,5500,5520
8840,9170,9700,2320413,2385962,2885140,1325422,988867,1083346,1688553,3471460,3013793,35194759,10168101,7640,7360,7250,7280,7220,7080,7190,7610,7820,8060
669,725,869,399960,276502,784748,9503443,19753402,8033904,3248857,19662235,5169412,51187999,63858184,350,364,372,412,493,476,486,491,481,546
1615,1620,1735,39318,156868,55294,98694,96989,44814,246335,85560,119236,95790,852899,1575,1595,1610,1610,1585,1580,1585,1620,1595,1600
1550,1685,1915,276209,471001,237318,266426,187392,215662,403049,423165,439300,10162120,32256168,1155,1175,1165,1155,1140,1140,1130,1145,1160,1200
1710,1850,2030,512852,559914,468748,668601,417568,1894756,669612,594482,262347,472669,3701369,1595,1595,1675,1765,1730,1765,1825,1700,1720,1710
5450,6350,6630,198368,135850,135555,99818,78561,610212,478679,1688201,1545369,1331557,2283106,4305,4400,4365,4290,4300,4265,4925,4970,5330,5410
6290,6830,8170,87882,68441,81016,165849,311006,224847,190917,91711,120399,2442533,8008459,5290,5250,5210,5340,5420,5700,5610,5760,5740,5810
2810,2840,3505,10175658,9344468,3269380,2507769,47751702,7086752,5339063,8425106,7573354,10934553,90517033,2660,2670,2645,2550,2610,2670,2645,2690,2670,2760
5450,6350,6630,198368,135850,135555,99818,78561,610212,478679,1688201,1545369,1331557,2283106,4305,4400,4365,4290,4300,4265,4925,4970,5330,5410
487,513,633,172550,95329,105489,33768,397392,277480,61953,213801,13678859,21514543,27178286,421,427,424,419,427,434,434,425,419,479
3930,4285,5090,47135,39400,14497,44518,22835,62178,39738,74611,125496,166053,12731213,3825,3800,3740,3745,3740,3810,3810,3765,3645,3690
654,679,768,80943,101583,44198,108974,99206,115996,106975,15020786,23384095,23644579,19945302,506,510,504,511,510,516,515,516,645,615
