published_date,updated_date,commentor,comment,like
2022-06-19T05:10:18Z,2022-06-19T05:10:18Z,최재훈,예비군 교통비? 나 좀 올려주던가 외진대로 훈련하러 가는데 짜증,0
2022-06-19T05:10:07Z,2022-06-19T05:10:07Z,Psycho Y,H형이랑 너덜트형들 기본5살 이상씩 차이나네ㅋㅋㅋㅋㅋㅋ,0
2022-06-19T05:10:05Z,2022-06-19T05:10:05Z,ㅅㅅㄴ,기엽당,0
2022-06-19T05:09:54Z,2022-06-19T05:09:54Z,국산둘기,이 정도면 사단장 출신이신 고성균 장군님 불러와야된다 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,2
2022-06-19T05:09:50Z,2022-06-19T05:10:00Z,Tuseday,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ굳이굳이 찾아가서 얘기햌ㅋㅋㅋㅋ,0
2022-06-19T05:09:49Z,2022-06-19T05:09:49Z,Your-boy-kiko,진짜 이것만 기다렸다,0
2022-06-19T05:09:48Z,2022-06-19T05:09:48Z,최준성,대말리아는?,0
2022-06-19T05:09:47Z,2022-06-19T05:09:47Z,00원샷,ㅋㅋ 유디티햄 하드캐리했누,1
2022-06-19T05:09:44Z,2022-06-19T05:09:44Z,호이호이어,아덴만?ㅋㅋㅋㅋ,0
2022-06-19T05:09:36Z,2022-06-19T05:09:36Z,-무임승턱,탄약창 경비중대! 사회나가서 초병수화를 잘써먹을수 있습니...다?,1
2022-06-19T05:09:34Z,2022-06-19T05:09:34Z,bjor Dne,이근을 섭외했어야지ㅋㅋ,0
2022-06-19T05:09:31Z,2022-06-19T05:09:31Z,목덜미,너덜트는 믿고 보는게 루즈한 부분이 없어서 넘 좋음 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 마지막에 얘기하고 싶어서 나가는거 ㅈㄴ 웃기네 아 ㅋㅋㅋㅋㅋㅋㅋ,5
2022-06-19T05:09:30Z,2022-06-19T05:09:30Z,김덕구,요즘 군인 수가 줄어든다던데 이젠 성별상관없이 징병을 해야하지않나 평등하게,1
2022-06-19T05:09:16Z,2022-06-19T05:09:16Z,결국우상향,혹시 나중에 로다주나와서 너희 타노스랑 싸워본적있나?...ㅎ 네다음 망상,1
2022-06-19T05:09:09Z,2022-06-19T05:09:09Z,처음이,파서블님 외모에 사투리 쓰니까 남자인 나도 취한다 크흐....존멋,0
2022-06-19T05:09:03Z,2022-06-19T05:09:03Z,[킹]찐이,소말리아 해적 이야기 듣고 싶어요~~~,0
2022-06-19T05:09:01Z,2022-06-19T05:09:01Z,견마지년,병사때 페스트로프 진짜 했는뎅..msg라니ㅜㅜ,0
2022-06-19T05:09:00Z,2022-06-19T05:09:25Z,09t gfl,무슨 안보교육 받으러온것도 아니고ㅋㅋㅋ,0
2022-06-19T05:09:00Z,2022-06-19T05:09:00Z,Venti,이 형 찐이였구나..,0
2022-06-19T05:08:56Z,2022-06-19T05:08:56Z,ㅇㅇ,소말리아는 ㅇㅈ이지 ㅋㅋ,0
2022-06-19T05:08:49Z,2022-06-19T05:08:49Z,lionkyung,이젠 진짜 연예인으로 보인다 ㅎ,1
2022-06-19T05:08:35Z,2022-06-19T05:08:35Z,ㅇㅅㅇ,지나가는 공익입니다. 그냥 지나가겠습니다.,0
2022-06-19T05:08:33Z,2022-06-19T05:08:33Z,카푸치토 TV,드디어 나왔다 ㅋㅋㅋ 주말 최고의 희👏,0
2022-06-19T05:08:32Z,2022-06-19T05:08:32Z,JU,섬넬부터 웃음 벨이네 ㅋㅋㅋㅋㅋ,1
2022-06-19T05:08:26Z,2022-06-19T05:08:26Z,만수아빠,연기…아닌거 같은데요 ㅋㅋㅋㅋ,0
2022-06-19T05:08:25Z,2022-06-19T05:08:25Z,굿굿,h님 팔뚝밖에 안보임...,0
2022-06-19T05:08:15Z,2022-06-19T05:08:15Z,둥이집사,(제리 인사짤),1
2022-06-19T05:08:12Z,2022-06-19T05:08:12Z,안재윤,다 부질없다.  해병대  제대한지 20여년...사회생활 에 1도 도움안되고 요샌 어디가서 그냥 면제 라고한다. 그게 오히려  편함.,0
2022-06-19T05:07:43Z,2022-06-19T05:07:43Z,가즈아아,진짜 에이치형 꼰대같앜ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0
2022-06-19T05:07:37Z,2022-06-19T05:07:37Z,DK L,그래서 2편은 소말리아해적 편이라구요?,0
2022-06-19T05:07:27Z,2022-06-19T05:07:27Z,ㅎㅎ,아 웃겨 죽긋노 ㅋㄱㅋㅋㅋㅋㅌㅌㅌㅌㅌㅌㅌㅌㅌㅌㅌㅌㅌㅌㅌㅌㅌㅌㅌㅌㅌㅌㅌㅌㅌ,0
2022-06-19T05:07:18Z,2022-06-19T05:07:18Z,09t gfl,누구 저격하고 그러면 안돼 상처받아ㅋㅋ,0
2022-06-19T05:07:14Z,2022-06-19T05:07:14Z,응쓰게싸,광고도 너덜트가 뜨네,0
2022-06-19T05:07:05Z,2022-06-19T05:07:05Z,호옹이호옹,생각보다 연기를 너무잘하쟈나 형,0
2022-06-19T05:07:04Z,2022-06-19T05:07:04Z,HEEE,H님 맛깔나게 연기 잘하시네여 ㅋㅋㅋㅋㅋ개꿀잼 ㅋㅋㅋㅋ,1
2022-06-19T05:07:03Z,2022-06-19T05:07:03Z,Joe J,'그것'들이 이걸 봤으면 좋겠다ㅋㅋ 안보관 중요한거 핵공감 갑니다. 전 투표도 그 사람 안보관보고 뽑음. 그래서 대깨ㅁ 극혐.,1
2022-06-19T05:06:56Z,2022-06-19T05:06:56Z,잇맹의 사전예약,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ진짜 웃기네,0
2022-06-19T05:06:55Z,2022-06-19T05:06:55Z,09t gfl,저격수;,0
2022-06-19T05:06:51Z,2022-06-19T05:06:51Z,이미리,숨셔 숨...,0
